origin_id;destination_id;distance
ARC11;GDM6;9
ARC11;GDM7;8
ARC11;GDM8;7
ARC11;GDM9;8
ARC11;MAI1;12
ARC11;MAI2;13
ARC11;MAI3;12
ARC11;MAI4;11
ARC11;MAI5;12
ARC11;MTS1;13
ARC11;MTS2;13
ARC11;MTS3;14
ARC11;OAZ1;9
ARC11;OAZ2;9
ARC11;OAZ3;8
ARC11;OAZ4;8
ARC11;OAZ5;8
ARC11;OAZ6;9
ARC11;OAZ7;10
ARC11;OAZ8;7
ARC11;PRD1;12
ARC11;PRD2;11
ARC11;PRD3;12
ARC11;PRD4;13
ARC11;PRD5;10
ARC11;PRD6;11
ARC11;PRD7;12
ARC11;PRD8;9
ARC11;PRD9;9
ARC11;PRT1;13
ARC11;PRT2;13
ARC11;PRT3;12
ARC11;PV_VC;15
ARC11;PVZ2;16
ARC11;PVZ3;17
ARC11;PVZ4;18
ARC11;PVZ5;17
ARC11;PVZ6;16
ARC11;RAV1;11
ARC11;RAV10;15
ARC11;RAV2;10
ARC11;RAV3;10
ARC11;RAV4;9
ARC11;RAV5;11
ARC11;RAV6;12
ARC11;RAV7;12
ARC11;RAV8;13
ARC11;RAV9;14
ARC11;SJM1;8
ARC11;SMF1;9
ARC11;SMF10;8
ARC11;SMF11;7
ARC11;SMF12;7
ARC11;SMF2;10
ARC11;SMF3;9
ARC11;SMF4;8
ARC11;SMF5;10
ARC11;SMF6;9
ARC11;SMF7;8
ARC11;SMF8;8
ARC11;SMF9;7
ARC11;STR1;13
ARC11;STR2;14
ARC11;STR3;14
ARC11;STR4;13
ARC11;STR5;15
ARC11;STR6;12
ARC11;STR7;15
ARC11;STR8;11
ARC11;TES1;12
ARC11;TES10;9
ARC11;TES11;10
ARC11;TES12;11
ARC11;TES2;13
ARC11;TES3;14
ARC11;TES4;13
ARC11;TES5;12
ARC11;TES6;13
ARC11;TES7;14
ARC11;TES8;14
ARC11;TES9;8
ARC11;TRF1;13
ARC11;TRF2;13
ARC11;TRF3;12
ARC11;VCB1;7
ARC11;VCB2;6
ARC11;VCB3;6
ARC11;VCB4;7
ARC11;VCB5;5
ARC11;VCB6;6
ARC11;VCB7;7
ARC11;VCB8;5
ARC11;VCB9;6
ARC11;VCD10;15
ARC11;VCD11;14
ARC11;VCD12;14
ARC11;VCD2;15
ARC11;VCD3;14
ARC11;VCD4;16
ARC11;VCD5;16
ARC11;VCD6;15
ARC11;VCD7;14
ARC11;VCD8;13
ARC11;VCD9;14
ARC11;VLG1;10
ARC11;VLG2;11
ARC11;VLG3;11
ARC11;VNG1;12
ARC11;VNG10;10
ARC11;VNG11;9
ARC11;VNG12;9
ARC11;VNG2;11
ARC11;VNG3;12
ARC11;VNG4;12
ARC11;VNG5;13
ARC11;VNG6;11
ARC11;VNG7;11
ARC11;VNG8;11
ARC11;VNG9;10
ARC12;ARC1;3
ARC12;ARC10;3
ARC12;ARC11;2
ARC12;ARC12;1
ARC12;ARC13;3
ARC12;ARC14;4
ARC12;ARC15;5
ARC12;ARC16;5
ARC12;ARC17;5
ARC12;ARC18;3
ARC12;ARC19;6
ARC12;ARC2;4
ARC12;ARC20;6
ARC12;ARC21;6
ARC12;ARC3;3
ARC12;ARC4;2
ARC12;ARC5;2
ARC12;ARC6;3
ARC12;ARC7;4
ARC12;ARC8;5
ARC12;ARC9;4
ARC12;AVE1;14
ARC12;AVE2;15
ARC12;AVE3;16
ARC12;AVE4;15
ARC12;AVE5;14
ARC12;CAV1;19
ARC12;CAV2;19
ARC12;CAV3;20
ARC12;ESP1;11
ARC12;GDM1;11
ARC12;GDM2;10
ARC12;GDM3;11
ARC12;GDM4;10
ARC12;GDM5;10
ARC12;GDM6;9
ARC12;GDM7;8
ARC12;GDM8;7
ARC12;GDM9;8
ARC12;MAI1;12
ARC12;MAI2;13
ARC12;MAI3;12
ARC12;MAI4;11
ARC12;MAI5;12
ARC12;MTS1;13
ARC12;MTS2;13
ARC12;MTS3;14
ARC12;OAZ1;8
ARC12;OAZ2;8
ARC12;OAZ3;7
ARC12;OAZ4;7
ARC12;OAZ5;7
ARC12;OAZ6;8
ARC12;OAZ7;9
ARC12;OAZ8;6
ARC12;PRD1;12
ARC12;PRD2;11
ARC12;PRD3;12
ARC12;PRD4;13
ARC12;PRD5;10
ARC12;PRD6;11
ARC12;PRD7;12
ARC12;PRD8;9
ARC12;PRD9;9
ARC12;PRT1;13
ARC12;PRT2;13
ARC12;PRT3;12
ARC12;PV_VC;15
ARC12;PVZ2;16
ARC12;PVZ3;17
ARC12;PVZ4;18
ARC12;PVZ5;17
ARC12;PVZ6;16
ARC12;RAV1;11
ARC12;RAV10;14
ARC12;RAV2;10
ARC12;RAV3;10
ARC12;RAV4;9
ARC12;RAV5;10
ARC12;RAV6;11
ARC12;RAV7;11
ARC12;RAV8;12
ARC12;RAV9;13
ARC12;SJM1;8
ARC12;SMF1;9
ARC12;SMF10;8
ARC12;SMF11;7
ARC12;SMF12;7
ARC12;SMF2;10
ARC12;SMF3;9
ARC12;SMF4;8
ARC12;SMF5;10
ARC12;SMF6;9
ARC12;SMF7;8
